coordinate	declared_license_names	license_urls	license_evidence_coordinate	pom_sha256	verified_artifacts
androidx.camera:camera-lifecycle:1.6.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.camera:camera-lifecycle:1.6.1	11d06c48fb13cf82eb78c3c08e0d32b03b6c706aebac3a4d1d38d9f6c81ed855	camera-lifecycle-1.6.1.aar | camera-lifecycle-1.6.1.module
androidx.camera:camera-video:1.6.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.camera:camera-video:1.6.1	0d99e0864dfb9917f5490604bea3b8176cc67bb179acddf4172e2dc9db01b22f	camera-video-1.6.1.aar | camera-video-1.6.1.module
androidx.camera:camera-view:1.6.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.camera:camera-view:1.6.1	f2ef17a7673ab491de3402a5722d509c503492d7d35b3f9a519271d069812a14	camera-view-1.6.1.aar | camera-view-1.6.1.module
androidx.camera.featurecombinationquery:featurecombinationquery:1.6.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.camera.featurecombinationquery:featurecombinationquery:1.6.1	95787b6625214e9c8ebefcfcce33f40579de00ea69445ef9c59a1190235a0d5e	featurecombinationquery-1.6.1.aar | featurecombinationquery-1.6.1.module
androidx.camera.viewfinder:viewfinder-core:1.5.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.camera.viewfinder:viewfinder-core:1.5.1	064073c759c8a10cfe0faa49e63a2377a2863e7cf3843bb408bb87d131c917c7	viewfinder-core-1.5.1.aar | viewfinder-core-1.5.1.module
androidx.collection:collection:1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.collection:collection:1.0.0	a7913a5275ad68e555d2612ebe8c14c367b153e14ca48a1872a64899020e54ef	collection-1.0.0.jar | collection-1.0.0.pom
androidx.collection:collection:1.1.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.collection:collection:1.1.0	67e9066ca4acfdc6e3cc508293c31ba0398057ff118e4f70b1e1813c9a3456d1	collection-1.1.0.pom
androidx.collection:collection:1.4.2	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.collection:collection:1.4.2	4f2615a17aeacfe12b68298214a19f2a19c68c66d590075bdbbfb659ebce2b7f	collection-1.4.2.module
androidx.collection:collection:1.4.5	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.collection:collection:1.4.5	0c0dfdce57da50b7e9ca27d3b19bffbe3b98f31ddc7e03cd584cf77809a7b349	collection-1.4.5.module
androidx.collection:collection:1.5.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.collection:collection:1.5.0	2d65c8d0b36d4b4faadc44aff9bade23d871d7159eedf2b3f02d802b34b77a57	collection-1.5.0.module
